"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.1",1,0,1,0.00622128917053128,1,41470,6624351,0,0,0
"result.2",1,1.50958184431954e-07,0.999999849041816,0.00622129010384319,1,41470,6624350,0,1,7.62e-05
"result.3",1,1.50958184431954e-07,0.999999849041816,0.00622129010384319,1,41470,6624350,0,1,9.97e-05
"result.4",1,3.01916368863908e-07,0.999999698083631,0.00622129103715537,1,41470,6624349,0,2,0.000101
"result.5",1,7.54790922159771e-07,0.999999245209078,0.00622129383709361,1,41470,6624346,0,5,0.000108
"result.6",1,9.05749106591725e-07,0.999999094250893,0.00622129477040692,1,41470,6624345,0,6,0.000109
"result.7",1,1.20766547545563e-06,0.999998792334524,0.00622129663703437,1,41470,6624343,0,8,0.00011
"result.8",1,1.50958184431954e-06,0.999998490418156,0.00622129850366294,1,41470,6624341,0,10,0.000111
"result.9",1,1.50958184431954e-06,0.999998490418156,0.00622129850366294,1,41470,6624341,0,10,0.000115
"result.10",1,1.81149821318345e-06,0.999998188501787,0.00622130037029264,1,41470,6624339,0,12,0.000116
"result.11",1,2.26437276647931e-06,0.999997735627233,0.00622130317023928,1,41470,6624336,0,15,0.000117
"result.12",1,2.41533095091127e-06,0.999997584669049,0.00622130410355538,1,41470,6624335,0,16,0.000118
"result.13",1,2.41533095091127e-06,0.999997584669049,0.00622130410355538,1,41470,6624335,0,16,0.000119
"result.14",1,2.56628913534322e-06,0.999997433710865,0.00622130503687177,1,41470,6624334,0,17,0.000122
"result.15",1,3.01916368863908e-06,0.999996980836311,0.00622130783682261,1,41470,6624331,0,20,0.000124
"result.16",1,3.32108005750299e-06,0.999996678919942,0.00622130970345791,1,41470,6624329,0,22,0.000125
"result.17",1,3.77395461079885e-06,0.999996226045389,0.00622131250341295,1,41470,6624326,0,25,0.000126
"result.18",1,4.07587097966276e-06,0.99999592412902,0.00622131437005104,1,41470,6624324,0,27,0.000127
"result.19",1,4.83066190182253e-06,0.999995169338098,0.00622131903665118,1,41470,6624319,0,32,0.000128
"result.20",1,5.43449463955035e-06,0.99999456550536,0.00622132276993632,1,41470,6624315,0,36,0.000129
"result.21",1,5.88736919284621e-06,0.999994112630807,0.00622132556990313,1,41470,6624312,0,39,0.00013
