"","Sensitivity","Specificity","X1.Spec","PPV","NPV","TP","FP","FN","TN","Cutoff","X.0.867..0.858..0.876.."
"1",1,0,1,0.000259056076915088,NA,1529,5900668,0,0,0,"0.867 (0.858, 0.876)"
"2",1,1.69472337708205e-07,0.999999830527662,0.000259056120806561,1,1529,5900667,0,1,7.06e-08,"0.867 (0.858, 0.876)"
"3",1,3.3894467541641e-07,0.999999661055325,0.000259056164698049,1,1529,5900666,0,2,7.91e-08,"0.867 (0.858, 0.876)"
"4",1,5.08417013124616e-07,0.999999491582987,0.000259056208589552,1,1529,5900665,0,3,8.05e-08,"0.867 (0.858, 0.876)"
"5",1,6.77889350832821e-07,0.999999322110649,0.000259056252481069,1,1529,5900664,0,4,8.06e-08,"0.867 (0.858, 0.876)"
"6",1,8.47361688541026e-07,0.999999152638311,0.000259056296372602,1,1529,5900663,0,5,8.17e-08,"0.867 (0.858, 0.876)"
"7",1,1.01683402624923e-06,0.999998983165974,0.000259056340264149,1,1529,5900662,0,6,8.9e-08,"0.867 (0.858, 0.876)"
"8",1,1.18630636395744e-06,0.999998813693636,0.000259056384155712,1,1529,5900661,0,7,8.95e-08,"0.867 (0.858, 0.876)"
"9",1,1.35577870166564e-06,0.999998644221298,0.000259056428047289,1,1529,5900660,0,8,8.97e-08,"0.867 (0.858, 0.876)"
"10",1,1.52525103937385e-06,0.999998474748961,0.000259056471938881,1,1529,5900659,0,9,1.02e-07,"0.867 (0.858, 0.876)"
"11",1,1.69472337708205e-06,0.999998305276623,0.000259056515830488,1,1529,5900658,0,10,1.07e-07,"0.867 (0.858, 0.876)"
"12",1,1.86419571479026e-06,0.999998135804285,0.00025905655972211,1,1529,5900657,0,11,1.09e-07,"0.867 (0.858, 0.876)"
"13",1,2.20314039020667e-06,0.99999779685961,0.000259056647505398,1,1529,5900655,0,13,1.19e-07,"0.867 (0.858, 0.876)"
"14",1,2.54208506562308e-06,0.999997457914934,0.000259056735288746,1,1529,5900653,0,15,1.22e-07,"0.867 (0.858, 0.876)"
"15",1,2.88102974103949e-06,0.999997118970259,0.000259056823072153,1,1529,5900651,0,17,1.23e-07,"0.867 (0.858, 0.876)"
"16",1,3.05050207874769e-06,0.999996949497921,0.000259056866963879,1,1529,5900650,0,18,1.26e-07,"0.867 (0.858, 0.876)"
"17",1,3.2199744164559e-06,0.999996780025584,0.00025905691085562,1,1529,5900649,0,19,1.41e-07,"0.867 (0.858, 0.876)"
"18",1,3.3894467541641e-06,0.999996610553246,0.000259056954747375,1,1529,5900648,0,20,1.45e-07,"0.867 (0.858, 0.876)"
"19",1,3.55891909187231e-06,0.999996441080908,0.000259056998639146,1,1529,5900647,0,21,1.47e-07,"0.867 (0.858, 0.876)"
"20",1,3.72839142958052e-06,0.99999627160857,0.000259057042530931,1,1529,5900646,0,22,1.51e-07,"0.867 (0.858, 0.876)"
"21",1,3.89786376728872e-06,0.999996102136233,0.000259057086422732,1,1529,5900645,0,23,1.64e-07,"0.867 (0.858, 0.876)"
"22",1,4.06733610499693e-06,0.999995932663895,0.000259057130314547,1,1529,5900644,0,24,1.7e-07,"0.867 (0.858, 0.876)"
"23",1,4.23680844270513e-06,0.999995763191557,0.000259057174206377,1,1529,5900643,0,25,1.71e-07,"0.867 (0.858, 0.876)"
