"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.1",1,0,1,0.00260139155778067,1,16302,6250344,0,0,0
"result.2",1,0,1,0.00260139155778067,1,16302,6250344,0,0,7.92e-05
"result.3",1,3.19982388169355e-07,0.999999680017612,0.00260139238801502,1,16302,6250342,0,2,8.25e-05
"result.4",1,3.19982388169355e-07,0.999999680017612,0.00260139238801502,1,16302,6250342,0,2,8.27e-05
"result.5",1,6.3996477633871e-07,0.999999360035224,0.0026013932182499,1,16302,6250340,0,4,8.42e-05
"result.6",1,6.3996477633871e-07,0.999999360035224,0.0026013932182499,1,16302,6250340,0,4,8.64e-05
"result.7",1,7.99955970423388e-07,0.99999920004403,0.00260139363336754,1,16302,6250339,0,5,8.81e-05
"result.8",1,1.11993835859274e-06,0.999998880061641,0.00260139446360322,1,16302,6250337,0,7,8.84e-05
"result.9",1,1.11993835859274e-06,0.999998880061641,0.00260139446360322,1,16302,6250337,0,7,8.85e-05
"result.10",1,1.27992955267742e-06,0.999998720070447,0.00260139487872125,1,16302,6250336,0,8,8.97e-05
"result.11",1,1.4399207467621e-06,0.999998560079253,0.00260139529383942,1,16302,6250335,0,9,8.99e-05
"result.12",1,1.75990313493145e-06,0.999998240096865,0.00260139612407616,1,16302,6250333,0,11,9.08e-05
"result.13",1,1.91989432901613e-06,0.999998080105671,0.00260139653919473,1,16302,6250332,0,12,9.09e-05
"result.14",1,2.07988552310081e-06,0.999997920114477,0.00260139695431342,1,16302,6250331,0,13,9.12e-05
"result.15",1,2.55985910535484e-06,0.999997440140895,0.00260139819967032,1,16302,6250328,0,16,9.16e-05
"result.16",1,2.55985910535484e-06,0.999997440140895,0.00260139819967032,1,16302,6250328,0,16,9.2e-05
"result.17",1,2.71985029943952e-06,0.999997280149701,0.00260139861478955,1,16302,6250327,0,17,9.21e-05
"result.18",1,3.03983268760887e-06,0.999996960167312,0.0026013994450284,1,16302,6250325,0,19,9.22e-05
"result.19",1,3.03983268760887e-06,0.999996960167312,0.0026013994450284,1,16302,6250325,0,19,9.23e-05
"result.20",1,3.19982388169355e-06,0.999996800176118,0.00260139986014803,1,16302,6250324,0,20,9.26e-05
"result.21",1,3.35981507577823e-06,0.999996640184924,0.00260140027526779,1,16302,6250323,0,21,9.3e-05
"result.22",1,3.51980626986291e-06,0.99999648019373,0.00260140069038768,1,16302,6250322,0,22,9.31e-05
"result.23",1,3.67979746394758e-06,0.999996320202536,0.0026014011055077,1,16302,6250321,0,23,9.33e-05
"result.24",1,4.15977104620162e-06,0.999995840228954,0.00260140235086857,1,16302,6250318,0,26,9.38e-05
"result.25",1,4.31976224028629e-06,0.99999568023776,0.00260140276598912,1,16302,6250317,0,27,9.4e-05
"result.26",1,4.31976224028629e-06,0.99999568023776,0.00260140276598912,1,16302,6250317,0,27,9.42e-05
"result.27",1,4.63974462845565e-06,0.999995360255372,0.00260140359623063,1,16302,6250315,0,29,9.46e-05
"result.28",1,4.63974462845565e-06,0.999995360255372,0.00260140359623063,1,16302,6250315,0,29,9.49e-05
"result.29",1,4.95972701662501e-06,0.999995040272983,0.00260140442647267,1,16302,6250313,0,31,9.5e-05
"result.30",1,5.27970940479436e-06,0.999994720290595,0.00260140525671523,1,16302,6250311,0,33,9.53e-05
"result.31",1,5.43970059887904e-06,0.999994560299401,0.00260140567183671,1,16302,6250310,0,34,9.59e-05
"result.32",1,5.59969179296371e-06,0.999994400308207,0.00260140608695833,1,16302,6250309,0,35,9.6e-05
"result.33",1,5.75968298704839e-06,0.999994240317013,0.00260140650208007,1,16302,6250308,0,36,9.61e-05
"result.34",1,5.91967418113307e-06,0.999994080325819,0.00260140691720195,1,16302,6250307,0,37,9.63e-05
"result.35",1,6.07966537521775e-06,0.999993920334625,0.00260140733232396,1,16302,6250306,0,38,9.64e-05
"result.36",1,6.23965656930243e-06,0.999993760343431,0.00260140774744611,1,16302,6250305,0,39,9.65e-05
"result.37",1,6.3996477633871e-06,0.999993600352237,0.00260140816256838,1,16302,6250304,0,40,9.67e-05
"result.38",1,6.55963895747178e-06,0.999993440361043,0.00260140857769079,1,16302,6250303,0,41,9.72e-05
"result.39",1,6.55963895747178e-06,0.999993440361043,0.00260140857769079,1,16302,6250303,0,41,9.76e-05
"result.40",1,7.19960373381049e-06,0.999992800396266,0.00260141023818175,1,16302,6250299,0,45,9.77e-05
"result.41",1,7.35959492789517e-06,0.999992640405072,0.00260141065330482,1,16302,6250298,0,46,9.81e-05
"result.42",1,7.51958612197985e-06,0.999992480413878,0.00260141106842803,1,16302,6250297,0,47,9.82e-05
"result.43",1,7.67957731606452e-06,0.999992320422684,0.00260141148355136,1,16302,6250296,0,48,9.84e-05
"result.44",1,7.8395685101492e-06,0.99999216043149,0.00260141189867483,1,16302,6250295,0,49,9.86e-05
