"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.1",1,0,1,0.00015516075360998,1,856,5516003,0,0,0
"result.2",1,1.81290691828848e-07,0.999999818709308,0.000155160781734821,1,856,5516002,0,1,1.07e-07
"result.3",1,3.62581383657696e-07,0.999999637418616,0.000155160809859672,1,856,5516001,0,2,1.1e-07
"result.4",1,3.62581383657696e-07,0.999999637418616,0.000155160809859672,1,856,5516001,0,2,1.18e-07
"result.5",1,7.25162767315391e-07,0.999999274837233,0.000155160866109405,1,856,5515999,0,4,1.19e-07
"result.6",1,9.06453459144239e-07,0.999999093546541,0.000155160894234286,1,856,5515998,0,5,1.24e-07
"result.7",1,1.08774415097309e-06,0.999998912255849,0.000155160922359178,1,856,5515997,0,6,1.25e-07
"result.8",1,1.26903484280193e-06,0.999998730965157,0.00015516095048408,1,856,5515996,0,7,1.26e-07
"result.9",1,1.63161622645963e-06,0.999998368383774,0.000155161006733915,1,856,5515994,0,9,1.29e-07
"result.10",1,1.99419761011733e-06,0.99999800580239,0.000155161062983791,1,856,5515992,0,11,1.32e-07
"result.11",1,1.99419761011733e-06,0.99999800580239,0.000155161062983791,1,856,5515992,0,11,1.34e-07
"result.12",1,2.17548830194617e-06,0.999997824511698,0.000155161091108744,1,856,5515991,0,12,1.37e-07
"result.13",1,3.08194176109041e-06,0.999996918058239,0.000155161231733662,1,856,5515986,0,17,1.39e-07
"result.14",1,3.26323245291926e-06,0.999996736767547,0.000155161259858676,1,856,5515985,0,18,1.4e-07
"result.15",1,3.44452314474811e-06,0.999996555476855,0.000155161287983701,1,856,5515984,0,19,1.42e-07
"result.16",1,3.62581383657696e-06,0.999996374186163,0.000155161316108735,1,856,5515983,0,20,1.43e-07
"result.17",1,3.98839522023465e-06,0.99999601160478,0.000155161372358835,1,856,5515981,0,22,1.44e-07
"result.18",1,3.98839522023465e-06,0.99999601160478,0.000155161372358835,1,856,5515981,0,22,1.45e-07
"result.19",1,4.35097660389235e-06,0.999995649023396,0.000155161428608976,1,856,5515979,0,24,1.49e-07
"result.20",1,4.35097660389235e-06,0.999995649023396,0.000155161428608976,1,856,5515979,0,24,1.51e-07
"result.21",1,4.89484867937889e-06,0.999995105151321,0.000155161512984263,1,856,5515976,0,27,1.53e-07
"result.22",1,5.25743006303659e-06,0.999994742569937,0.000155161569234506,1,856,5515974,0,29,1.54e-07
"result.23",1,5.98259283035198e-06,0.99999401740717,0.000155161681735114,1,856,5515970,0,33,1.57e-07
"result.24",1,5.98259283035198e-06,0.99999401740717,0.000155161681735114,1,856,5515970,0,33,1.58e-07
"result.25",1,6.34517421400967e-06,0.999993654825786,0.000155161737985479,1,856,5515968,0,35,1.6e-07
"result.26",1,6.52646490583852e-06,0.999993473535094,0.000155161766110676,1,856,5515967,0,36,1.61e-07
"result.27",1,6.70775559766737e-06,0.999993292244402,0.000155161794235884,1,856,5515966,0,37,1.62e-07
"result.28",1,6.88904628949622e-06,0.99999311095371,0.000155161822361103,1,856,5515965,0,38,1.63e-07
"result.29",1,7.25162767315391e-06,0.999992748372327,0.000155161878611569,1,856,5515963,0,40,1.64e-07
"result.30",1,7.43291836498276e-06,0.999992567081635,0.000155161906736818,1,856,5515962,0,41,1.65e-07
"result.31",1,7.43291836498276e-06,0.999992567081635,0.000155161906736818,1,856,5515962,0,41,1.66e-07
"result.32",1,7.79549974864046e-06,0.999992204500251,0.000155161962987346,1,856,5515960,0,43,1.67e-07
"result.33",1,8.52066251595585e-06,0.999991479337484,0.000155162075488525,1,856,5515956,0,47,1.68e-07
"result.34",1,9.24582528327124e-06,0.999990754174717,0.000155162187989867,1,856,5515952,0,51,1.69e-07
"result.35",1,9.42711597510009e-06,0.999990572884025,0.000155162216115228,1,856,5515951,0,52,1.71e-07
"result.36",1,9.60840666692893e-06,0.999990391593333,0.000155162244240599,1,856,5515950,0,53,1.72e-07
"result.37",1,9.97098805058663e-06,0.999990029011949,0.000155162300491371,1,856,5515948,0,55,1.73e-07
"result.38",1,1.05148601260732e-05,0.999989485139874,0.000155162384867607,1,856,5515945,0,58,1.74e-07
"result.39",1,1.08774415097309e-05,0.99998912255849,0.000155162441118482,1,856,5515943,0,60,1.75e-07
"result.40",1,1.10587322015597e-05,0.999988941267798,0.000155162469243935,1,856,5515942,0,61,1.76e-07
"result.41",1,1.16026042770463e-05,0.999988397395723,0.000155162553620354,1,856,5515939,0,64,1.77e-07
"result.42",1,1.21464763525328e-05,0.999987853523647,0.000155162637996865,1,856,5515936,0,67,1.78e-07
"result.43",1,1.28716391198482e-05,0.99998712836088,0.000155162750499022,1,856,5515932,0,71,1.79e-07
"result.44",1,1.34155111953347e-05,0.999986584488805,0.000155162834875747,1,856,5515929,0,74,1.8e-07
"result.45",1,1.34155111953347e-05,0.999986584488805,0.000155162834875747,1,856,5515929,0,74,1.81e-07
"result.46",1,1.37780925789924e-05,0.999986221907421,0.000155162891126948,1,856,5515927,0,76,1.82e-07
"result.47",1,1.4321964654479e-05,0.999985678035346,0.000155162975503827,1,856,5515924,0,79,1.83e-07
"result.48",1,1.50471274217944e-05,0.999984952872578,0.000155163088006473,1,856,5515920,0,83,1.84e-07
"result.49",1,1.55909994972809e-05,0.999984409000503,0.000155163172383566,1,856,5515917,0,86,1.85e-07
"result.50",1,1.59535808809386e-05,0.999984046419119,0.000155163228635011,1,856,5515915,0,88,1.86e-07
"result.51",1,1.61348715727675e-05,0.999983865128427,0.00015516325676075,1,856,5515914,0,89,1.87e-07
"result.52",1,1.68600343400828e-05,0.99998313996566,0.000155163369263804,1,856,5515910,0,93,1.88e-07
"result.53",1,1.77664877992271e-05,0.999982233512201,0.000155163509892852,1,856,5515905,0,98,1.89e-07
"result.54",1,1.81290691828848e-05,0.999981870930817,0.000155163566144542,1,856,5515903,0,100,1.9e-07
"result.55",1,1.88542319502002e-05,0.99998114576805,0.000155163678648046,1,856,5515899,0,104,1.91e-07
"result.56",1,2.01232667930021e-05,0.999979876733207,0.000155163875529569,1,856,5515892,0,111,1.92e-07
"result.57",1,2.06671388684886e-05,0.999979332861131,0.000155163959907518,1,856,5515889,0,114,1.93e-07
"result.58",1,2.10297202521463e-05,0.999978970279748,0.000155164016159535,1,856,5515887,0,116,1.94e-07
"result.59",1,2.15735923276329e-05,0.999978426407672,0.000155164100537636,1,856,5515884,0,119,1.95e-07
"result.60",1,2.2661336478606e-05,0.999977338663521,0.000155164269294115,1,856,5515878,0,125,1.96e-07
"result.61",1,2.33864992459214e-05,0.999976613500754,0.000155164381798638,1,856,5515874,0,129,1.97e-07
"result.62",1,2.37490806295791e-05,0.99997625091937,0.000155164438050961,1,856,5515872,0,131,1.98e-07
"result.63",1,2.41116620132368e-05,0.999975888337987,0.000155164494303324,1,856,5515870,0,133,1.99e-07
"result.64",1,2.5018115472381e-05,0.999974981884528,0.000155164634934411,1,856,5515865,0,138,2e-07
"result.65",1,2.53806968560387e-05,0.999974619303144,0.000155164691186917,1,856,5515863,0,140,2.01e-07
"result.66",1,2.59245689315252e-05,0.999974075431068,0.000155164775565753,1,856,5515860,0,143,2.02e-07
"result.67",1,2.66497316988406e-05,0.999973350268301,0.00015516488807101,1,856,5515856,0,147,2.03e-07
"result.68",1,2.71936037743272e-05,0.999972806396226,0.00015516497245006,1,856,5515853,0,150,2.04e-07
"result.69",1,2.84626386171291e-05,0.999971537361383,0.000155165169334867,1,856,5515846,0,157,2.05e-07
"result.70",1,2.95503827681022e-05,0.999970449617232,0.000155165338093671,1,856,5515840,0,163,2.06e-07
"result.71",1,2.99129641517599e-05,0.999970087035848,0.000155165394346687,1,856,5515838,0,165,2.07e-07
"result.72",1,3.08194176109041e-05,0.999969180582389,0.000155165534979405,1,856,5515833,0,170,2.08e-07
"result.73",1,3.15445803782195e-05,0.999968455419622,0.000155165647485764,1,856,5515829,0,174,2.09e-07
